outcome	includes_r2	n_conditions	n_relative_precision	p50_relative_ci_half_width	p90_relative_ci_half_width	max_relative_ci_half_width	p50_relative_nested_change	p90_relative_nested_change	max_relative_nested_change
matches_per_agent	false	98	98	0.004350158102981094	0.013980328190092279	0.04660811582602326	0.0008561344822064839	0.0047751663435692876	0.03636862436883174
mean_degree	false	98	98	0.04255179417760599	0.06513119201419515	0.08377058358500358	0.012783261801346094	0.045537244533827265	0.08196451894917803
median_degree	false	98	98	0.045842512895925905	0.07186242570387966	0.0951742080033345	0.017595134617728304	0.05119925615727728	0.08975059166211538
betweenness	false	98	98	0.03443874463335135	0.13229039153105165	0.19766144263508	0.011863868890900329	0.09307342605795972	0.15742308777303168
constraint	false	98	98	0.0404795278270199	0.10414009967002828	0.161259834004901	0.019533041752878642	0.07179415135531222	0.11707211428625576
effective_size	false	98	98	0.011667049729163652	0.046489654831666886	0.0641354578515988	0.004370056096970481	0.034856981621628785	0.06244740905672585
access_fraction	false	98	98	0.06916779835392756	0.20406602234403215	0.41867926701085717	0.028109830651792067	0.10214789618156939	0.2894972379444614
outsourcing_rate	false	98	98	0.013582435752112286	0.06398265083480939	0.09516408811438477	0.0040603979692089235	0.04340605954726719	0.08288132172763908
agent_holdout_rank	false	98	98	0.03989205883297556	0.08059232584990624	0.10108855749312504	0.009759762634983045	0.03183914029776444	0.06674100117807508
broker_holdout_rank	false	98	98	0.021247201817183432	0.08123298412749767	0.13907011085184612	0.006913576900767609	0.02272985312232802	0.060478063647288374
rank_gap	false	98	93	0.07940305318838493	0.3485940556425593	0.8803119426635753	0.0273180081624008	0.0750222513335375	0.59538185117374
q_self_mean	false	98	98	0.03295056166546984	0.05260823971837973	0.06856923481095187	0.011060657882050356	0.03147508672797736	0.04907609248013303
q_broker_mean	false	98	98	0.029813880516598168	0.041958524256351756	0.04856594527581009	0.005572725408871413	0.01786831553198822	0.027898274579937918
output_gap	false	98	96	0.09848027721959213	0.27931591113264886	0.9957896778821808	0.03147860581806043	0.18691634402286783	0.6289204124032048
agent_holdout_r2	true	98	98	0.11558200646349281	0.22457249580890803	0.2860313215348284	0.025926423500179617	0.05691496287446189	0.12493063121183755
broker_holdout_r2	true	98	61	0.24569325867623582	0.8367945621535694	0.9900148341039453	0.10273681034643632	0.44109744265715156	0.9440322452660483
r2_gap	true	98	76	0.1474537010987503	0.5946867043784949	0.9001366455804782	0.03632746444864938	0.15392860701424957	0.8843054624015049
