broker_service	rho	eta	metric	estimate	se	lower	upper	n
access_only	0.0	0.0	access_fraction	0.009226608013796822	0.000399648509195496	0.008390134070742229	0.010063081956851416	20
access_only	0.0	0.0	agent_holdout_rank	0.7032031050656661	0.006251230965821928	0.6901191282845387	0.7162870818467935	20
access_only	0.0	0.0	betweenness	0.17172543844206095	0.007694442353153057	0.15562078551165354	0.18783009137246837	20
access_only	0.0	0.0	broker_fill_rate	0.9973772671251597	0.00023874938575330502	0.9968775589178028	0.9978769753325166	20
access_only	0.0	0.0	broker_holdout_rank	0.8809735225140711	0.008410899805673595	0.8633693069015781	0.8985777381265642	20
access_only	0.0	0.0	broker_selected_rank	0.9461350432075502	0.004795996114955125	0.9360969079741003	0.956173178441	20
access_only	0.0	0.0	gross_match_output	12827.053462868944	219.84248698688504	12366.917849424448	13287.18907631344	20
access_only	0.0	0.0	mean_degree	59.27419999999999	0.7470523518169679	57.71060145774478	60.83779854225521	20
access_only	0.0	0.0	net_output_per_principal	12.47134801330215	0.21979004559987722	12.011322160942107	12.931373865662191	20
access_only	0.0	0.0	outsourcing_rate	0.504955548964759	0.01940430501590676	0.4643418718073904	0.5455692261221277	20
access_only	0.0	0.0	q_gap	-0.017050128533976083	0.02622340757980484	-0.07193635138706081	0.03783609431910864	20
access_only	0.0	0.0	rank_gap	0.17777041744840524	0.008022232370047283	0.1609796921278433	0.1945611427689672	20
access_only	0.0	0.0	self_fill_rate	0.9995883645799772	3.123748518834257e-5	0.9995229837720788	0.9996537453878757	20
access_only	0.0	0.0	total_broker_fees	179.4087991155862	6.943371301445654	164.87615596297212	193.94144226820026	20
access_only	0.0	0.0	total_search_cost	176.29665045120703	6.892092891930465	161.87133424318003	190.72196665923403	20
access_only	0.0	0.01	access_fraction	0.11345821378021333	0.0014582980625036334	0.11040596085689619	0.11651046670353046	20
access_only	0.0	0.01	agent_holdout_rank	0.6891890517274053	0.006063116414525288	0.676498803227126	0.7018793002276846	20
access_only	0.0	0.01	betweenness	0.604693294030672	0.005135992667345704	0.5939435378346527	0.6154430502266912	20
access_only	0.0	0.01	broker_fill_rate	0.9941927795828105	0.0002510232377013954	0.993667381908086	0.994718177257535	20
access_only	0.0	0.01	broker_holdout_rank	0.978996876741145	0.0015480177941482203	0.9757568382613406	0.9822369152209494	20
access_only	0.0	0.01	broker_selected_rank	0.9345424586446912	0.004378964149324125	0.9253771813467642	0.9437077359426183	20
access_only	0.0	0.01	gross_match_output	12194.033571139023	210.4755444744123	11753.503193689392	12634.563948588655	20
access_only	0.0	0.01	mean_degree	28.968282500000004	0.23654148209905687	28.473195488101286	29.463369511898723	20
access_only	0.0	0.01	net_output_per_principal	11.839551225015342	0.2103642711728455	11.399253745262504	12.27984870476818	20
access_only	0.0	0.01	outsourcing_rate	0.8120851508084133	0.005843411087536153	0.7998547508424039	0.8243155507744226	20
access_only	0.0	0.01	q_gap	1.0026814100738635	0.05912869470451273	0.878923629751553	1.126439190396174	20
access_only	0.0	0.01	rank_gap	0.2898078250137397	0.006314559604766474	0.27659129986796843	0.30302435015951096	20
access_only	0.0	0.01	self_fill_rate	0.9968584617283451	0.00026033042031078235	0.9963135838965405	0.9974033395601498	20
access_only	0.0	0.01	total_broker_fees	287.56158936030056	2.1525034322718435	283.05634789935914	292.066830821242	20
access_only	0.0	0.01	total_search_cost	66.92075676338266	2.0729780986577286	62.58196373863043	71.25954978813488	20
access_only	0.0	0.03	access_fraction	0.23709357472928616	0.0017691485067413346	0.233390704348856	0.24079644510971632	20
access_only	0.0	0.03	agent_holdout_rank	0.6937347915837551	0.006376141813153507	0.6803893733945061	0.707080209773004	20
